Hebrew_character,Names,Frequencies
הי,He_Yod,28
בר,Bet_Resh,28
ונענש,Waw_Nun-medial_Ayin_Nun-medial_Shin,28
עשה,Ayin_Shin_He,27
שבעה,Shin_Bet_Ayin_He,27
האלה,He_Alef_Lamed_He,27
ני,Nun-medial_Yod,27
האשר,He_Alef_Shin_Resh,27
ואף,Waw_Alef_Pe-final,27
גבר,Gimel_Bet_Resh,27
להון,Lamed_He_Waw_Nun-final,27
עליה,Ayin_Lamed_Yod_He,27
למען,Lamed_Mem-medial_Ayin_Nun-final,27
ברוח,Bet_Resh_Waw_Het,26
ממנו,Mem-medial_Mem-medial_Nun-medial_Waw,26
בברית,Bet_Bet_Resh_Yod_Taw,26
מלחמה,Mem-medial_Lamed_Het_Mem-medial_He,26
שער,Shin_Ayin_Resh,26
זהב,Zayin_He_Bet,26
קול,Qof_Waw_Lamed,26
וה,Waw_He,26
אבי,Alef_Bet_Yod,26
בהמה,Bet_He_Mem-medial_He,26
אחת,Alef_Het_Taw,25
שלוש,Shin_Lamed_Waw_Shin,25
עדת,Ayin_Dalet_Taw,25
לפניו,Lamed_Pe_Nun-medial_Yod_Waw,25
הן,He_Nun-final,25
רשעים,Resh_Shin_Ayin_Yod_Mem,25
שבעת,Shin_Bet_Ayin_Taw,25
גדול,Gimel_Dalet_Waw_Lamed,25
יצר,Yod_Tsadi_Resh,25
האיש,He_Alef_Yod_Shin,25
הדבר,He_Dalet_Bet_Resh,25
והמה,Waw_He_Mem-medial_He,25
פן,Pe_Nun-final,25
למלחמה,Lamed_Mem-medial_Lamed_Het_Mem-medial_He,25
אדוני,Alef_Dalet_Waw_Nun-medial_Yod,25
אמן,Alef_Mem-medial_Nun-final,25
אהרון,Alef_He_Resh_Waw_Nun-final,25
רב,Resh_Bet,24
מעשה,Mem-medial_Ayin_Shin_He,24
רשע,Resh_Shin_Ayin,24
ככ,Kaf_Kaf,24
ליום,Lamed_Yod_Waw_Mem,24
אותו,Alef_Waw_Taw_Waw,24
מעל,Mem-medial_Ayin_Lamed,24
השבת,He_Shin_Bet_Taw,24
שמכה,Shin_Mem-medial_Kaf_He,24
רוחות,Resh_Waw_Het_Waw_Taw,24
נהיה,Nun-medial_He_Yod_He,23
נפשו,Nun-medial_Pe_Shin_Waw,23
יצא,Yod_Tsadi_Alef,23
הנה,He_Nun-medial_He,23
קודשים,Qof_Waw_Dalet_Shin_Yod_Mem,23
רבא,Resh_Bet_Alef,23
וכען,Waw_Kaf_Ayin_Nun-final,23
מות,Mem-medial_Waw_Taw,23
הקודש,He_Qof_Waw_Dalet_Shin,23
חיל,Het_Yod_Lamed,23
אשמה,Alef_Shin_Mem-medial_He,23
גם,Gimel_Mem,23
מלאכי,Mem-medial_Lamed_Alef_Kaf_Yod,23
לעולם,Lamed_Ayin_Waw_Lamed_Mem,23
בישראל,Bet_Yod_Shin_Resh_Alef_Lamed,23
לפניכה,Lamed_Pe_Nun-medial_Yod_Kaf_He,22
שרי,Shin_Resh_Yod,22
ככול,Kaf_Kaf_Waw_Lamed,22
בהם,Bet_He_Mem,22
כסף,Kaf_Samekh_Pe-final,22
קודשו,Qof_Waw_Dalet_Shin_Waw,22
אלף,Alef_Lamed_Pe-final,22
בשבת,Bet_Shin_Bet_Taw,22
אנוכי,Alef_Nun-medial_Waw_Kaf_Yod,22
כלה,Kaf_Lamed_He,22
רום,Resh_Waw_Mem,22
ליהוה,Lamed_Yod_He_Waw_He,22
בלוא,Bet_Lamed_Waw_Alef,22
אברהם,Alef_Bet_Resh_He_Mem,22
ידבר,Yod_Dalet_Bet_Resh,22
בינה,Bet_Yod_Nun-medial_He,22
וביום,Waw_Bet_Yod_Waw_Mem,22
מנה,Mem-medial_Nun-medial_He,22
המקדש,He_Mem-medial_Qof_Dalet_Shin,22
ואיש,Waw_Alef_Yod_Shin,22
ידע,Yod_Dalet_Ayin,22
קצי,Qof_Tsadi_Yod,22
צוה,Tsadi_Waw_He,22
ברז,Bet_Resh_Zayin,21
הא,He_Alef,21
כוח,Kaf_Waw_Het,21
נגע,Nun-medial_Gimel_Ayin,21
הלוא,He_Lamed_Waw_Alef,21
אלהא,Alef_Lamed_He_Alef,21
של,Shin_Lamed,21
לוי,Lamed_Waw_Yod,21
הברית,He_Bet_Resh_Yod_Taw,21
חיים,Het_Yod_Yod_Mem,21
לעד,Lamed_Ayin_Dalet,21
לבי,Lamed_Bet_Yod,21
מלכא,Mem-medial_Lamed_Kaf_Alef,21
בבית,Bet_Bet_Yod_Taw,21
אפו,Alef_Pe_Waw,21
ום,Waw_Mem,21
חסד,Het_Samekh_Dalet,21
ואז,Waw_Alef_Zayin,21
עצת,Ayin_Tsadi_Taw,21
תהיה,Taw_He_Yod_He,20
אחי,Alef_Het_Yod,20
פשע,Pe_Shin_Ayin,20
עמה,Ayin_Mem-medial_He,20
ציון,Tsadi_Yod_Waw_Nun-final,20
בהון,Bet_He_Waw_Nun-final,20
להיות,Lamed_He_Yod_Waw_Taw,20
שקר,Shin_Qof_Resh,20
ימי,Yod_Mem-medial_Yod,20
באחד,Bet_Alef_Het_Dalet,20
עול,Ayin_Waw_Lamed,20
ישוב,Yod_Shin_Waw_Bet,20
ספר,Samekh_Pe_Resh,20
צדיק,Tsadi_Dalet_Yod_Qof,20
ביחד,Bet_Yod_Het_Dalet,20
עבד,Ayin_Bet_Dalet,20
בשנה,Bet_Shin_Nun-medial_He,20
ובכל,Waw_Bet_Kaf_Lamed,20
ארו,Alef_Resh_Waw,20
כדי,Kaf_Dalet_Yod,20
עמך,Ayin_Mem-medial_Kaf-final,20
ופלג,Waw_Pe_Lamed_Gimel,20
שמים,Shin_Mem-medial_Yod_Mem,20
המשפט,He_Mem-medial_Shin_Pe_Tet,20
המזבח,He_Mem-medial_Zayin_Bet_Het,19
בל,Bet_Lamed,19
חרב,Het_Resh_Bet,19
הצדק,He_Tsadi_Dalet_Qof,19
ליחד,Lamed_Yod_Het_Dalet,19
לשוב,Lamed_Shin_Waw_Bet,19
למה,Lamed_Mem-medial_He,19
במים,Bet_Mem-medial_Yod_Mem,19
השני,He_Shin_Nun-medial_Yod,19
כם,Kaf_Mem,19
מחשבת,Mem-medial_Het_Shin_Bet_Taw,19
אברם,Alef_Bet_Resh_Mem,19
טהור,Tet_He_Waw_Resh,19
לאמור,Lamed_Alef_Mem-medial_Waw_Resh,19
שלושה,Shin_Lamed_Waw_Shin_He,19
עלוהי,Ayin_Lamed_Waw_He_Yod,19
שמו,Shin_Mem-medial_Waw,19
ואמרו,Waw_Alef_Mem-medial_Resh_Waw,19
ומי,Waw_Mem-medial_Yod,19
והם,Waw_He_Mem,19
מועד,Mem-medial_Waw_Ayin_Dalet,19
ומשפט,Waw_Mem-medial_Shin_Pe_Tet,19
וכי,Waw_Kaf_Yod,19
אמתכה,Alef_Mem-medial_Taw_Kaf_He,19
הגוים,He_Gimel_Waw_Yod_Mem,19
בעצת,Bet_Ayin_Tsadi_Taw,19
בעת,Bet_Ayin_Taw,18
פשר,Pe_Shin_Resh,18
תבוא,Taw_Bet_Waw_Alef,18
דא,Dalet_Alef,18
גוים,Gimel_Waw_Yod_Mem,18
עלמא,Ayin_Lamed_Mem-medial_Alef,18
לבב,Lamed_Bet_Bet,18
מעשיו,Mem-medial_Ayin_Shin_Yod_Waw,18
היאה,He_Yod_Alef_He,18
תמים,Taw_Mem-medial_Yod_Mem,18
רוב,Resh_Waw_Bet,18
ראשי,Resh_Alef_Shin_Yod,18
נדה,Nun-medial_Dalet_He,18
לבם,Lamed_Bet_Mem,18
קץ,Qof_Tasdi-final,18
באמת,Bet_Alef_Mem-medial_Taw,18
בנו,Bet_Nun-medial_Waw,18
מצרים,Mem-medial_Tsadi_Resh_Yod_Mem,18
משה,Mem-medial_Shin_He,18
לם,Lamed_Mem,18
סביב,Samekh_Bet_Yod_Bet,18
ערב,Ayin_Resh_Bet,18
ימצא,Yod_Mem-medial_Tsadi_Alef,18
לישראל,Lamed_Yod_Shin_Resh_Alef_Lamed,18
עפר,Ayin_Pe_Resh,18
ויאמר,Waw_Yod_Alef_Mem-medial_Resh,18
הבית,He_Bet_Yod_Taw,18
תחת,Taw_Het_Taw,18
לבלתי,Lamed_Bet_Lamed_Taw_Yod,17
עיר,Ayin_Yod_Resh,17
טמא,Tet_Mem-medial_Alef,17
חצוצרות,Het_Tsadi_Waw_Tsadi_Resh_Waw_Taw,17
אלוהי,Alef_Lamed_Waw_He_Yod,17
משפטי,Mem-medial_Shin_Pe_Tet_Yod,17
האמת,He_Alef_Mem-medial_Taw,17
לבכה,Lamed_Bet_Kaf_He,17
סרך,Samekh_Resh_Kaf-final,17
במשפט,Bet_Mem-medial_Shin_Pe_Tet,17
שמן,Shin_Mem-medial_Nun-final,17
יייי,Yod_Yod_Yod_Yod,17
אנש,Alef_Nun-medial_Shin,17
ממני,Mem-medial_Mem-medial_Nun-medial_Yod,17
ורוב,Waw_Resh_Waw_Bet,17
עולת,Ayin_Waw_Lamed_Taw,17
אנשים,Alef_Nun-medial_Shin_Yod_Mem,17
לבית,Lamed_Bet_Yod_Taw,17
חוק,Het_Waw_Qof,17
הגדול,He_Gimel_Dalet_Waw_Lamed,17
ללוא,Lamed_Lamed_Waw_Alef,17
אמתו,Alef_Mem-medial_Taw_Waw,17
בוא,Bet_Waw_Alef,17
שש,Shin_Shin,17
עיני,Ayin_Yod_Nun-medial_Yod,17
בעבור,Bet_Ayin_Bet_Waw_Resh,17
אמה,Alef_Mem-medial_He,17
שמיא,Shin_Mem-medial_Yod_Alef,17
יקח,Yod_Qof_Het,17
דם,Dalet_Mem,16
נוח,Nun-medial_Waw_Het,16
ארבעה,Alef_Resh_Bet_Ayin_He,16
גמול,Gimel_Mem-medial_Waw_Lamed,16
הזואת,He_Zayin_Waw_Alef_Taw,16
בדי,Bet_Dalet_Yod,16
הרע,He_Resh_Ayin,16
מעשיהם,Mem-medial_Ayin_Shin_Yod_He_Mem,16
לכם,Lamed_Kaf_Mem,16
מפני,Mem-medial_Pe_Nun-medial_Yod,16
לכי,Lamed_Kaf_Yod,16
רק,Resh_Qof,16
ועשרים,Waw_Ayin_Shin_Resh_Yod_Mem,16
מיד,Mem-medial_Yod_Dalet,16
אנתה,Alef_Nun-medial_Taw_He,16
עני,Ayin_Nun-medial_Yod,16
מיום,Mem-medial_Yod_Waw_Mem,16
דברו,Dalet_Bet_Resh_Waw,16
בפי,Bet_Pe_Yod,16
עוון,Ayin_Waw_Waw_Nun-final,16
ברא,Bet_Resh_Alef,16
ידי,Yod_Dalet_Yod,16
שנין,Shin_Nun-medial_Yod_Nun-final,16
בספר,Bet_Samekh_Pe_Resh,16
העמים,He_Ayin_Mem-medial_Yod_Mem,16
שאר,Shin_Alef_Resh,16
לשון,Lamed_Shin_Waw_Nun-final,16
מבן,Mem-medial_Bet_Nun-final,16
מלכי,Mem-medial_Lamed_Kaf_Yod,16
לבד,Lamed_Bet_Dalet,16
זרע,Zayin_Resh_Ayin,16
נא,Nun-medial_Alef,16
כולם,Kaf_Waw_Lamed_Mem,16
שר,Shin_Resh,16
הבא,He_Bet_Alef,16
תוך,Taw_Waw_Kaf-final,16
יעקוב,Yod_Ayin_Qof_Waw_Bet,15
עמים,Ayin_Mem-medial_Yod_Mem,15
ובאדין,Waw_Bet_Alef_Dalet_Yod_Nun-final,15
והכוהנים,Waw_He_Kaf_Waw_He_Nun-medial_Yod_Mem,15
אנון,Alef_Nun-medial_Waw_Nun-final,15
עשו,Ayin_Shin_Waw,15
בשרירות,Bet_Shin_Resh_Yod_Resh_Waw_Taw,15
אותם,Alef_Waw_Taw_Mem,15
הנביא,He_Nun-medial_Bet_Yod_Alef,15
פתח,Pe_Taw_Het,15
מקום,Mem-medial_Qof_Waw_Mem,15
מלי,Mem-medial_Lamed_Yod,15
יבואו,Yod_Bet_Waw_Alef_Waw,15
לכפר,Lamed_Kaf_Pe_Resh,15
מכל,Mem-medial_Kaf_Lamed,15
ויום,Waw_Yod_Waw_Mem,15
למו,Lamed_Mem-medial_Waw,15
ההוא,He_He_Waw_Alef,15
חמשה,Het_Mem-medial_Shin_He,15
בשבעה,Bet_Shin_Bet_Ayin_He,15
להשיב,Lamed_He_Shin_Yod_Bet,15
פלג,Pe_Lamed_Gimel,15
וזה,Waw_Zayin_He,15
השנה,He_Shin_Nun-medial_He,15
והואה,Waw_He_Waw_Alef_He,15
אליכה,Alef_Lamed_Yod_Kaf_He,15
קנין,Qof_Nun-medial_Yod_Nun-final,15
מעשיכה,Mem-medial_Ayin_Shin_Yod_Kaf_He,15
בליליא,Bet_Lamed_Yod_Lamed_Yod_Alef,15
לנצח,Lamed_Nun-medial_Tsadi_Het,15
קדש,Qof_Dalet_Shin,15
והיו,Waw_He_Yod_Waw,15
באשר,Bet_Alef_Shin_Resh,15
אדין,Alef_Dalet_Yod_Nun-final,15
השם,He_Shin_Mem,15
נצח,Nun-medial_Tsadi_Het,15
שמעו,Shin_Mem-medial_Ayin_Waw,15
וכאשר,Waw_Kaf_Alef_Shin_Resh,14
ללכת,Lamed_Lamed_Kaf_Taw,14
כפי,Kaf_Pe_Yod,14
בשם,Bet_Shin_Mem,14
דרכו,Dalet_Resh_Kaf_Waw,14
ואנשי,Waw_Alef_Nun-medial_Shin_Yod,14
פיהו,Pe_Yod_He_Waw,14
מא,Mem-medial_Alef,14
סוד,Samekh_Waw_Dalet,14
ידעתי,Yod_Dalet_Ayin_Taw_Yod,14
ברוב,Bet_Resh_Waw_Bet,14
המערכה,He_Mem-medial_Ayin_Resh_Kaf_He,14
גוי,Gimel_Waw_Yod,14
ואמת,Waw_Alef_Mem-medial_Taw,14
לעל,Lamed_Ayin_Lamed,14
נתן,Nun-medial_Taw_Nun-final,14
יש,Yod_Shin,14
פנים,Pe_Nun-medial_Yod_Mem,14
כמשפט,Kaf_Mem-medial_Shin_Pe_Tet,14
מישראל,Mem-medial_Yod_Shin_Resh_Alef_Lamed,14
שמע,Shin_Mem-medial_Ayin,14
העת,He_Ayin_Taw,14
היו,He_Yod_Waw,14
למשפט,Lamed_Mem-medial_Shin_Pe_Tet,14
אלן,Alef_Lamed_Nun-final,14
מבני,Mem-medial_Bet_Nun-medial_Yod,14
ואמרת,Waw_Alef_Mem-medial_Resh_Taw,14
מקדשי,Mem-medial_Qof_Dalet_Shin_Yod,14
ולי,Waw_Lamed_Yod,14
העיר,He_Ayin_Yod_Resh,14
הוית,He_Waw_Yod_Taw,14
השביעי,He_Shin_Bet_Yod_Ayin_Yod,14
רזי,Resh_Zayin_Yod,14
עוז,Ayin_Waw_Zayin,14
ליד,Lamed_Yod_Dalet,14
השמים,He_Shin_Mem-medial_Yod_Mem,14
יאכל,Yod_Alef_Kaf_Lamed,14
שתים,Shin_Taw_Yod_Mem,14
יקום,Yod_Qof_Waw_Mem,14
ועתה,Waw_Ayin_Taw_He,14
בשרו,Bet_Shin_Resh_Waw,14
בת,Bet_Taw,14
האדם,He_Alef_Dalet_Mem,14
קדוש,Qof_Dalet_Waw_Shin,14
לבוא,Lamed_Bet_Waw_Alef,14
לעם,Lamed_Ayin_Mem,14
לילה,Lamed_Yod_Lamed_He,13
הואת,He_Waw_Alef_Taw,13
לכלה,Lamed_Kaf_Lamed_He,13
יתהלכו,Yod_Taw_He_Lamed_Kaf_Waw,13
ויתן,Waw_Yod_Taw_Nun-final,13
באלה,Bet_Alef_Lamed_He,13
מזה,Mem-medial_Zayin_He,13
ולו,Waw_Lamed_Waw,13
מני,Mem-medial_Nun-medial_Yod,13
בלבבי,Bet_Lamed_Bet_Bet_Yod,13
יוכל,Yod_Waw_Kaf_Lamed,13
אז,Alef_Zayin,13
לבבי,Lamed_Bet_Bet_Yod,13
שנית,Shin_Nun-medial_Yod_Taw,13
החללים,He_Het_Lamed_Lamed_Yod_Mem,13
בסוד,Bet_Samekh_Waw_Dalet,13
הר,He_Resh,13
רעה,Resh_Ayin_He,13
איתי,Alef_Yod_Taw_Yod,13
בחצוצרות,Bet_Het_Tsadi_Waw_Tsadi_Resh_Waw_Taw,13
קדם,Qof_Dalet_Mem,13
דרכי,Dalet_Resh_Kaf_Yod,13
חמס,Het_Mem-medial_Samekh,13
השמש,He_Shin_Mem-medial_Shin,13
בלא,Bet_Lamed_Alef,13
אלהים,Alef_Lamed_He_Yod_Mem,13
תום,Taw_Waw_Mem,13
אלהי,Alef_Lamed_He_Yod,13
שכלו,Shin_Kaf_Lamed_Waw,13
צדוק,Tsadi_Dalet_Waw_Qof,13
ששים,Shin_Shin_Yod_Mem,13
להוא,Lamed_He_Waw_Alef,13
האת,He_Alef_Taw,13
שלושים,Shin_Lamed_Waw_Shin_Yod_Mem,13
בדרך,Bet_Dalet_Resh_Kaf-final,13
ששה,Shin_Shin_He,13
שתה,Shin_Taw_He,13
אליו,Alef_Lamed_Yod_Waw,13
בריתו,Bet_Resh_Yod_Taw_Waw,13
גורלו,Gimel_Waw_Resh_Lamed_Waw,13
המון,He_Mem-medial_Waw_Nun-final,13
ולה,Waw_Lamed_He,13
שכניה,Shin_Kaf_Nun-medial_Yod_He,13
בדרכי,Bet_Dalet_Resh_Kaf_Yod,13
דור,Dalet_Waw_Resh,13
בדעת,Bet_Dalet_Ayin_Taw,13
מהמה,Mem-medial_He_Mem-medial_He,13
רצונו,Resh_Tsadi_Waw_Nun-medial_Waw,13
באדין,Bet_Alef_Dalet_Yod_Nun-final,13
רמה,Resh_Mem-medial_He,13
המבקר,He_Mem-medial_Bet_Qof_Resh,13
שלם,Shin_Lamed_Mem,13
ירושלים,Yod_Resh_Waw_Shin_Lamed_Yod_Mem,13
ויהי,Waw_Yod_He_Yod,13
יגע,Yod_Gimel_Ayin,13
אחיהו,Alef_Het_Yod_He_Waw,13
הדר,He_Dalet_Resh,12
נקם,Nun-medial_Qof_Mem,12
יודע,Yod_Waw_Dalet_Ayin,12
פעמים,Pe_Ayin_Mem-medial_Yod_Mem,12
חרש,Het_Resh_Shin,12
בעל,Bet_Ayin_Lamed,12
ידעו,Yod_Dalet_Ayin_Waw,12
מזבח,Mem-medial_Zayin_Bet_Het,12
למשכיל,Lamed_Mem-medial_Shin_Kaf_Yod_Lamed,12
ולפי,Waw_Lamed_Pe_Yod,12
וארץ,Waw_Alef_Resh_Tasdi-final,12
לבן,Lamed_Bet_Nun-final,12
אויב,Alef_Waw_Yod_Bet,12
וקוי,Waw_Qof_Waw_Yod,12
אפים,Alef_Pe_Yod_Mem,12
השנית,He_Shin_Nun-medial_Yod_Taw,12
בטרם,Bet_Tet_Resh_Mem,12
ישא,Yod_Shin_Alef,12
שבי,Shin_Bet_Yod,12
בבני,Bet_Bet_Nun-medial_Yod,12
שתי,Shin_Taw_Yod,12
ישיב,Yod_Shin_Yod_Bet,12
נפק,Nun-medial_Pe_Qof,12
בקץ,Bet_Qof_Tasdi-final,12
וכיא,Waw_Kaf_Yod_Alef,12
עליהמה,Ayin_Lamed_Yod_He_Mem-medial_He,12
